Name,Age,Gender,From,Real Time Position,Industry,Company
Gabriella Meister,70,Female,Germany,405.0,Manufacturing ,Appliances
Fernando Moreira salles,72,Male,Brazil,570.0,Diversified ,"Banking, minerals"
Joao Moreira salles,56,Male,Brazil,569.0,Diversified ,"Banking, minerals"
Walther Moreira salles junior,62,Male,Brazil,571.0,Finance and Investments ,"Banking, minerals"
Pankaj Patel,65,Male,Brazil,433.0,Healthcare ,Pharmaceuticals
Karen Pritzker,60,Female,Brazil,385.0,Service ,"Hotels, investments"
Thomas Schmidheiny,72,Male,Switzerland,466.0,Construction & Engineering ,Cement
Vichai Srivaddhanaprabha,60,Male,Thailand,416.0,Fashion & Retail ,Duty-free
Keiichiro Takahara,87,Male,Japan,321.0,Manufacturing ,Diapers
M.a. Yusuff ali,62,Male,India,497.0,Fashion & Retail ,Retail
Robert Bass,70,Male,India,407.0,Energy ,"Oil, investments"
Marc Benioff,53,Male,India,302.0,Technology ,Business software
Martin Bouygues,-9999,Male,India,461.0,Construction & Engineering ,"Construction, media"
Chung Chung,80,Male,India,474.0,Automotive ,Motor vehicles
Charles Dolan,91,Male,United States,346.0,Media & Entertainment ,Cable television
Ray Hunt,75,Male,United States,392.0,Energy ,"Oil, real estate"
Liu Liu,66,Male,United States,508.0,Service ,Agribusiness
John Overdeck,48,Male,United States,343.0,Finance and Investments ,Hedge funds
Ajay Piramal,62,Male,United States,453.0,Healthcare ,Pharmaceuticals
Enrique Razon,58,Male,United States,639.0,Logistics ,Ports
Sumner Redstone,95,Male,United States,411.0,Media & Entertainment ,Media
Paolo Rocca,-9999,Male,Italy,355.0,Metals & Mining ,Pipe manufacturing
Reinhold Schmieding,63,Male,Italy,340.0,Healthcare ,Medical devices
David Siegel,56,Male,Italy,342.0,Finance and Investments ,Hedge funds
Andrei Skoch,52,Male,Italy,428.0,Metals & Mining ,Steel
Yu Yu,57,Male,China,421.0,Finance and Investments ,Mining
Sam Zell,76,Male,China,398.0,Real Estate ,"Real estate, private equity"
Zhou Zhou,58,Male,China,399.0,Fashion & Retail ,Fashion retail
Bajaj Bajaj,-9999,Male,China,390.0,Diversified ,Diversified
Garrett Camp,39,Male,China,429.0,Technology ,Uber
Bubba Cathy,64,Male,China,402.0,Food and Beverage ,Chick-fil-a
Dan Cathy,65,Male,China,403.0,Food and Beverage ,Chick-fil-a
Fu Fu,50,Male,China,515.0,Technology ,Surveillance equipment
Philip Green,66,NaN,China,424.0,Fashion & Retail ,Fashion retail
Mikhail Gutseriev,60,Male,China,468.0,Energy ,"Oil, real estate"
Rupert Johnson,77,Male,China,524.0,Finance and Investments ,Money management
Travis Kalanick,41,Male,China,430.0,Technology ,Uber
Andrei Kozitsyn,58,Male,Russia,447.0,Metals & Mining ,Metals
Horst Paulmann,83,Male,Russia,530.0,Fashion & Retail ,Retail
Julio Ponce lerou,72,Male,Chile,500.0,Metals & Mining ,Fertilizer
Trevor Rees-jones,66,Male,Chile,431.0,Energy ,Oil & gas
Mark Scheinberg,44,Male,Chile,434.0,Gambling & Casinos ,Online gambling
Jeffrey Skoll,53,Male,United States,409.0,Technology ,Ebay
Murat Ulker,59,Male,Turkey,553.0,Food and Beverage ,Food
Daniel Ziff,46,Male,United States,425.0,Finance and Investments ,Investments
Dirk Ziff,54,Male,United States,426.0,Finance and Investments ,Investments
Robert Ziff,51,Male,United States,427.0,Finance and Investments ,Investments
Juergen Blickle,71,Male,United States,495.0,Manufacturing ,Auto parts
Bernard Broermann,74,Male,Germany,448.0,Healthcare ,Hospitals
Clive Calder,71,Male,Germany,442.0,Media & Entertainment ,Record label
Stanley Druckenmiller,65,Male,Germany,444.0,Finance and Investments ,Hedge funds
Ted Lerner,92,Male,Germany,383.0,Real Estate ,Real estate
Li Li,61,Male,Germany,408.0,Manufacturing ,Petrochemicals
Lim Lim,66,Male,Germany,338.0,Gambling & Casinos ,Casinos
Niels Louis-hansen,70,Male,Germany,298.0,Healthcare ,Medical devices
Fredrik Lundberg,66,Male,Germany,559.0,Real Estate ,"Real estate, investments"
Gwendolyn Meyer,56,Female,United States,438.0,Food and Beverage ,Cargill
J. Reyes,64,Male,United States,325.0,Food and Beverage ,Food distribution
Jude Reyes,62,Male,United States,326.0,Food and Beverage ,Food distribution
Alexandra Schoerghuber,59,Female,United States,445.0,Real Estate ,Real estate
Sheldon Solow,89,Male,United States,439.0,Real Estate ,Real estate
Lucio Tan,83,Male,United States,645.0,Diversified ,Diversified
Majid Al futtaim,-9999,Male,United States,509.0,Real Estate ,"Real estate, retail"
Andrej Babis,63,Male,Czech Republic,550.0,Food and Beverage ,Agriculture
Dona Bertarelli,50,Female,Switzerland,476.0,Diversified ,Biotech
Cai Cai,55,Male,People'S Republic Of China,404.0,Real Estate ,Real estate
Bidzina Ivanishvili,62,Male,People'S Republic Of China,450.0,Finance and Investments ,Investments
Jeremy Jacobs,78,Male,People'S Republic Of China,393.0,Service ,Concessions
Chris Larsen,58,Male,People'S Republic Of China,449.0,Finance and Investments ,Cryptocurrency
Patrick Lee,76,Male,Hong Kong,440.0,Manufacturing ,Paper
Liang Liang,61,Male,Hong Kong,419.0,Manufacturing ,Construction equipment
Denis O'brien,60,Male,Ireland,492.0,Telecom ,Telecom
Kapil Bhatia,-9999,Male,Ireland,522.0,Service ,Airlines
Jean-pierre Cayard,75,Male,Ireland,464.0,Food and Beverage ,Spirits
Chey Chey,57,Male,Ireland,565.0,Telecom ,"It, telecom"
Fang Fang,44,Male,Ireland,613.0,Manufacturing ,Steel
Andrei Guriev,58,Male,Ireland,545.0,Manufacturing ,Fertilizers
Bertil Hult,77,Male,Sweden,463.0,Service ,Education
Ji Ji,50,Male,Sweden,451.0,Real Estate ,Real estate
Paul Jones,63,Male,Sweden,458.0,Finance and Investments ,Hedge funds
Robert Miller,85,Male,United Kingdom,499.0,Fashion & Retail ,Retail
Sergei Popov,46,Male,Russia,460.0,Finance and Investments ,Banking
Juan Roig,68,Male,Russia,473.0,Fashion & Retail ,Supermarkets
John Sall,70,Male,Russia,384.0,Technology ,Software
Leonard Stern,80,Male,Russia,465.0,Real Estate ,Real estate
Ye Ye,74,Male,Hong Kong,454.0,Healthcare ,Pharmaceuticals
Anthony Bamford,72,Male,United Kingdom,581.0,Construction & Engineering ,Construction equipment
Chu Chu,58,Male,People'S Republic Of China,472.0,Real Estate ,Real estate
Juan Escotet,58,Male,People'S Republic Of China,520.0,Finance and Investments ,Banking
Miguel Fluxa rossello,79,Male,People'S Republic Of China,547.0,Service ,Hotels
Andrew Forrest,56,Male,People'S Republic Of China,586.0,Metals & Mining ,Mining
Paul Gauselmann,83,Male,People'S Republic Of China,527.0,Gambling & Casinos ,Gambling
Tamara Gustavson,56,Female,United States,382.0,Service ,Self storage
Micky Jagtiani,66,Male,United States,693.0,Fashion & Retail ,Retail
Johan Johannson,51,Male,United States,532.0,Fashion & Retail ,Grocery stores
Richard Li,51,Male,United States,477.0,Telecom ,Telecom
John Morris,70,Male,United States,412.0,Fashion & Retail ,Sporting goods retail
Theo Mueller,78,Male,United States,470.0,Food and Beverage ,Dairy
Akio Nitori,74,Male,United States,418.0,Fashion & Retail ,Home furnishings
Wolfgang Reimann,65,Male,Germany,540.0,Fashion & Retail ,Consumer goods
Matthias Reimann-andersen,53,Male,Germany,537.0,Fashion & Retail ,Consumer goods
Stefan Reimann-andersen,54,Male,Germany,539.0,Fashion & Retail ,Consumer goods
Renate Reimann-haas,66,Male,Germany,538.0,Fashion & Retail ,Consumer goods
Robert Smith,55,Male,Germany,481.0,Finance and Investments ,Private equity
Russ Weiner,48,Male,United States,482.0,Food and Beverage ,Energy drinks
Jeronimo Arango,92,Male,United States,471.0,Fashion & Retail ,Retail
Rahul Bajaj,80,Male,United States,452.0,Automotive ,Motorcycles
Rainer Blickle,70,Male,United States,587.0,Manufacturing ,Auto parts
Rocco Commisso,68,Male,United States,459.0,Telecom ,Telecom
Giuseppe De'longhi,79,Male,Italy,536.0,Fashion & Retail ,Coffee makers
Tilman Fertitta,60,Male,Italy,475.0,Food and Beverage ,"Houston rockets, entertainment"
Nathan Kirsh,86,Male,Italy,417.0,Fashion & Retail ,"Retail, real estate"
Terrence Pegula,67,Male,United States,491.0,Energy ,Natural gas
Robert Pera,40,Male,United States,397.0,Technology ,Wireless networking gear
Gary Rollins,73,Male,United States,479.0,Service ,Pest control
Randall Rollins,86,Male,United States,480.0,Service ,Pest control
Alejandro Santo domingo,41,Male,United States,516.0,Food and Beverage ,Beer
Andres Santo domingo,40,Male,United States,513.0,Food and Beverage ,Beer
Pham Vuong,49,Male,Vietnam,238.0,Diversified ,Diversified
Roger Wang,69,Male,United States,555.0,Fashion & Retail ,Retail
Stephen Bisciotti,58,Male,United States,478.0,Sports ,"Staffing, baltimore ravens"
Austen Cargill,67,Male,United States,510.0,Food and Beverage ,Cargill
James Cargill,69,Male,United States,511.0,Food and Beverage ,Cargill
Archie Emmerson,89,Male,United States,498.0,Manufacturing ,"Timberland, lumber mills"
Antti Herlin,61,Male,United States,523.0,Manufacturing ,"Elevators, escalators"
Sumet Jiaravanon,83,Male,United States,551.0,Diversified ,Diversified
Lars Larsen,69,Male,Denmark,695.0,Fashion & Retail ,Retail
Marianne Liebmann,64,Female,Denmark,512.0,Food and Beverage ,Cargill
Bobby Murphy,28,Male,United States,807.0,Technology ,Snapchat
Igor Olenicoff,75,Male,United States,514.0,Real Estate ,Real estate
Walter Scott,87,Male,United States,526.0,Energy ,"Utilities, telecom"
Clemmie Spangler,86,Male,United States,518.0,Finance and Investments ,Investments
Wang Wang,54,Male,China,423.0,Energy ,Natural gas distribution
Carl Bennet,66,Male,China,616.0,Finance and Investments ,Investments
Arthur Blank,75,Male,China,504.0,Sports ,Home depot
Jaran Chiaravanont,88,Male,China,567.0,Diversified ,Diversified
Jack Dangermond,72,NaN,United States,435.0,Technology ,Mapping software
Fan Fan,51,NaN,China,462.0,Energy ,Petrochemicals
John Gandel,83,NaN,China,563.0,Real Estate ,Shopping malls
James Jannard,69,Male,United States,521.0,Fashion & Retail ,Sunglasses
Montri Jiaravanont,87,Male,United States,568.0,Diversified ,Diversified
Samuel Lee,79,Male,United States,583.0,Real Estate ,Real estate
Pawan Munjal,64,Male,United States,557.0,Automotive ,Motorcycles
Axel Oberwelland,51,Male,United States,620.0,Food and Beverage ,Candy
James Packer,50,Male,United States,552.0,Gambling & Casinos ,Casinos
Isaac Perlmutter,75,Male,United States,535.0,Media & Entertainment ,Marvel comics
H. Perot,87,Male,United States,517.0,Diversified ,"Computer services, real estate"
Michael Pieper,72,Male,United States,670.0,Manufacturing ,Kitchen appliances
Thomas Pritzker,68,Male,United States,541.0,Finance and Investments ,"Hotels, investments"
Julian Robertson,85,Male,United States,543.0,Finance and Investments ,Hedge funds
Renzo Rosso,62,Male,United States,654.0,Fashion & Retail ,Fashion
Hussain Sajwani,65,Male,United States,800.0,Real Estate ,Real estate
Yasumitsu Shigeta,53,Male,Japan,368.0,Telecom ,Mobile phone retailer
Evan Spiegel,27,Male,Japan,817.0,Technology ,Snapchat
Wang Wang,45,Male,Japan,549.0,Technology ,E-commerce
Kelcy Warren,62,Male,United States,503.0,Energy ,Pipelines
Ben Ashkenazy,48,Male,United States,560.0,Real Estate ,Real estate
Ursula Bechtolsheimer-kipp,-9999,Female,Germany,592.0,Real Estate ,Retail
Otto Braun,40,Female,Germany,593.0,Healthcare ,Medical technology
Che Che,51,Male,Germany,467.0,Fashion & Retail ,Furniture retailing
Dagmar Dolby,76,Male,Germany,544.0,Technology ,Dolby laboratories
Traudl Engelhorn,91,Female,Germany,561.0,Healthcare ,"Pharmaceuticals, medical equipment"
Dan Friedkin,53,Male,United States,531.0,Automotive ,Toyota dealerships
Sergei Galitsky,50,Male,United States,623.0,Fashion & Retail ,Retail
Huang Huang,66,Male,United States,679.0,Real Estate ,Real estate
Erman Ilicak,50,Male,Turkey,780.0,Construction & Engineering ,Construction
Ronald Lauder,74,Male,United States,548.0,Fashion & Retail ,Estee lauder
Michel Leclercq,79,Male,France,643.0,Fashion & Retail ,Sporting goods
Michael Moritz,63,Male,United States,485.0,Technology ,Venture capital
Issad Rebrab,74,Male,United States,577.0,Food and Beverage ,Food
Naguib Sawiris,64,Male,United States,533.0,Telecom ,Telecom
Richard Schulze,77,Male,United States,505.0,Fashion & Retail ,Best buy
B.r. Shetty,76,Male,India,534.0,Healthcare ,Healthcare
Jeff Sutton,58,Male,India,572.0,Real Estate ,Real estate
Tony Tan caktiong,65,Male,India,686.0,Food and Beverage ,Food
Yu Yu,52,Male,China,650.0,Logistics ,Package delivery
Zhang Zhang,70,Male,China,588.0,Metals & Mining ,Aluminum
Zhang Zhang,33,Male,China,562.0,Technology ,Software
Suhail Bahwan,79,Male,China,740.0,Diversified ,Diversified
Rick Caruso,59,Male,China,574.0,Real Estate ,Real estate
Tom Gores,53,Male,United States,575.0,Finance and Investments ,Private equity
Peter Hargreaves,71,Male,United States,489.0,Finance and Investments ,Financial services
Daniela Herz,64,Female,United States,614.0,Finance and Investments ,Coffee
Guenter Herz,77,Male,Germany,615.0,Finance and Investments ,Coffee
Masatoshi Ito,94,Male,Japan,542.0,Fashion & Retail ,Retail
Barry Lam,69,Male,Japan,635.0,Technology ,Electronics
Sudhir Mehta,-9999,Male,Japan,624.0,Diversified ,Diversified
Ravi Pillai,64,Male,Japan,619.0,Construction & Engineering ,Construction
Stewart Resnick,-9999,NaN,Japan,436.0,Food and Beverage ,"Agriculture, water"
Jerry Speyer,78,Male,United States,576.0,Real Estate ,Real estate
Harry Stine,76,Male,United States,719.0,Food and Beverage ,Agriculture
George Ty,85,Male,United States,854.0,Finance and Investments ,Banking
Steven Udvar-hazy,72,Male,United States,582.0,Service ,Aircraft leasing
Christoph Zeller,61,Male,United States,610.0,Healthcare ,Dental implants
Nathan Blecharczyk,34,Male,United States,598.0,Technology ,Airbnb
Hubert Burda,78,Male,United States,647.0,Media & Entertainment ,Publishing
Chen Chen,60,Male,United States,618.0,Finance and Investments ,Insurance
Brian Chesky,35,Male,United States,596.0,Technology ,Airbnb
Gustaf Douglas,80,Male,Sweden,696.0,Diversified ,Investments
Joe Gebbia,35,Male,United States,597.0,Technology ,Airbnb
Peter Gilgan,67,Male,Canada,699.0,Construction & Engineering ,Homebuilding
Jeff Greene,63,Male,United States,600.0,Real Estate ,"Real estate, investments"
Jiang Jiang,63,Male,China,692.0,Manufacturing ,Chemicals
Dominika Kulczyk,-9999,NaN,China,599.0,Finance and Investments ,Diversified
Li Li,52,NaN,China,612.0,Real Estate ,Real estate
Robert Mcnair,81,NaN,China,602.0,Sports ,"Energy, sports"
Masahiro Miki,62,NaN,Japan,636.0,Fashion & Retail ,Shoes
Katharina Otto-bernstein,-9999,NaN,Japan,607.0,Real Estate ,Real estate
Ira Rennert,84,Male,United States,590.0,Finance and Investments ,Investments
Henry Samueli,63,Male,United States,566.0,Technology ,Semiconductors
Zeng Zeng,52,Female,People'S Republic Of China,634.0,Technology ,Smartphone components
Zhang Zhang,46,Female,China,632.0,Diversified ,Diversified
Nick Caporella,82,Female,China,506.0,Food and Beverage ,Beverages
Mark Cuban,59,Male,United States,608.0,Media & Entertainment ,Online media
Ken Fisher,67,Male,United States,621.0,Finance and Investments ,Money management
Jaime Gilinski bacal,60,Male,United States,638.0,Finance and Investments ,Banking
Andreas Halvorsen,57,Male,Norway,633.0,Finance and Investments ,Hedge funds
H. Johnson,60,Male,United States,671.0,Manufacturing ,Cleaning products
Imogene Johnson,87,Female,United States,671.0,Manufacturing ,Cleaning products
S. Johnson,63,Female,United States,657.0,Manufacturing ,Cleaning products
Helen Johnson-leipold,61,Female,United States,656.0,Manufacturing ,Cleaning products
Winifred Johnson-marquart,59,Female,United States,658.0,Manufacturing ,Cleaning products
Viatcheslav Kantor,64,Male,United States,653.0,Manufacturing ,"Fertilizer, real estate"
Samvel Karapetyan,52,Male,United States,796.0,Construction & Engineering ,Real estate
Marc Ladreit de lacharriere,77,Male,United States,662.0,Finance and Investments ,Finance
Angela Leong,57,Female,United States,578.0,Gambling & Casinos ,Casinos
Li Li,46,Male,United States,804.0,Manufacturing ,Hair dryers
Mangal Lodha,62,Male,India,849.0,Real Estate ,Real estate
Michael Milken,71,Male,India,609.0,Finance and Investments ,Investments
Yuri Milner,56,Male,Russia,617.0,Finance and Investments ,Tech investments
Andreas Struengmann,68,Male,Russia,667.0,Healthcare ,Pharmaceuticals
Thomas Struengmann,68,Male,Germany,668.0,Healthcare ,Pharmaceuticals
Tse Tse,66,Male,People'S Republic Of China,376.0,Healthcare ,Pharmaceuticals
Yitzhak Tshuva,69,Male,People'S Republic Of China,626.0,Real Estate ,Real estate
Samuel Yin,67,Male,Taiwan,525.0,Diversified ,Diversified
Michael Ashley,53,Male,Taiwan,627.0,Fashion & Retail ,Sports retailing
Cao Cao,60,Male,Taiwan,457.0,Healthcare ,Pharmaceuticals
Jeffery Hildebrand,59,Male,United States,528.0,Energy ,Oil
Jiang Jiang,64,Male,United States,279.0,Healthcare ,Vaccine production
Edward Johnson,53,Male,United States,651.0,Finance and Investments ,Money management
Elizabeth Johnson,55,Male,United States,652.0,Finance and Investments ,Money management
Peter Kellogg,75,Male,United States,708.0,Finance and Investments ,Investments
Lim Lim,78,Male,United States,1018.0,Healthcare ,Pharmaceuticals
Friedhelm Loh,71,Male,United States,689.0,Manufacturing ,Manufacturing
Kiran Mazumdar-shaw,65,Female,United States,664.0,Healthcare ,Biotech
Idan Ofer,62,Male,United States,798.0,Diversified ,"Drilling, shipping"
Karsanbhai Patel,74,Male,United States,603.0,Diversified ,Consumer goods
Qin Qin,53,Male,United States,745.0,Food and Beverage ,Pig breeding
Qiu Qiu,66,Male,United States,432.0,Fashion & Retail ,Fashion retail
Sarath Ratanavadi,52,Male,Thailand,770.0,Energy ,Energy
Rodger Riney,72,Male,Thailand,605.0,Finance and Investments ,Discount brokerage
Steven Spielberg,71,Male,United States,637.0,Media & Entertainment ,Movies
Gabriele Volkmann,-9999,Male,United States,775.0,Automotive ,Auto parts
Arne Wilhelmsen,88,Male,Norway,721.0,Logistics ,Cruise ships
Xu Xu,73,Male,Norway,659.0,Healthcare ,Pharmaceuticals
Zhang Zhang,65,Male,China,716.0,Real Estate ,Real estate
Zhang Zhang,52,Female,China,683.0,Real Estate ,Real estate
Anita Zucker,66,Female,United States,985.0,Manufacturing ,Chemicals
Carlo Benetton,74,Male,Italy,701.0,Fashion & Retail ,"Fashion retail, investments"
Gilberto Benetton,77,Male,Italy,702.0,Fashion & Retail ,"Fashion retail, investments"
Giuliana Benetton,80,Male,Italy,703.0,Fashion & Retail ,"Fashion retail, investments"
Luciano Benetton,83,Male,Italy,704.0,Fashion & Retail ,"Fashion retail, investments"
Chen Chen,52,Male,China,375.0,Healthcare ,Hospitals
Kuldip Dhingra,-9999,Male,China,585.0,Manufacturing ,Paints
Abilio Diniz,81,Male,China,963.0,Fashion & Retail ,Retail
Bernard Ecclestone,87,Male,United Kingdom,720.0,Sports ,Formula one
Judy Faulkner,74,Female,United Kingdom,666.0,Technology ,Health it
Gao Gao,66,Male,China,1061.0,Real Estate ,"Real estate, finance"
Joshua Harris,53,Male,United States,680.0,Finance and Investments ,Private equity
Arthur Irving,88,Male,United States,502.0,Energy ,Oil
Baba Kalyani,69,Male,United States,847.0,Construction & Engineering ,Engineering
Dmitry Kamenshchik,50,Male,Russia,729.0,Service ,Airport
Douglas Leone,60,Male,United States,580.0,Finance and Investments ,Venture capital
Edwin Leong,66,Male,Hong Kong,674.0,Real Estate ,Real estate
Arnon Milchan,73,Male,Hong Kong,630.0,Media & Entertainment ,Movie making
Maren Otto,-9999,Female,Hong Kong,687.0,Diversified ,"Retail, real estate"
Anthony Pritzker,57,Male,United States,677.0,Service ,"Hotels, investments"
Jay Pritzker,53,Male,United States,678.0,Finance and Investments ,"Hotels, investments"
Mitchell Rales,61,Male,United States,604.0,Manufacturing ,"Manufacturing, investments"
Kjell Rokke,59,Male,Norway,455.0,Logistics ,"Shipping, seafood"
Bernard Saul,86,Male,Norway,648.0,Finance and Investments ,"Banking, real estate"
Donald Sterling,84,Male,United States,663.0,Real Estate ,Real estate
Tahir Tahir,66,Male,United States,682.0,Diversified ,Diversified
Chairul Tanjung,56,Male,Indonesia,611.0,Diversified ,Diversified
Clemens Toennies,62,Male,Indonesia,665.0,Food and Beverage ,Meat processing
Somphote Ahunai,51,Male,Indonesia,1431.0,Energy ,Energy
Igor Altushkin,47,Male,Indonesia,747.0,Metals & Mining ,Metals
Riley Bechtel,66,Male,United States,738.0,Construction & Engineering ,"Engineering, construction"
Stephen Bechtel,93,Male,United States,739.0,Construction & Engineering ,"Engineering, construction"
Mike Cannon-brookes,38,Male,United States,483.0,Technology ,Software
Rafael Del pino y calvo-sotelo,59,Male,United States,705.0,Construction & Engineering ,Construction
Antonio Del valle ruiz,79,Male,United States,742.0,Manufacturing ,Chemicals
Scott Farquhar,38,Male,United States,484.0,Technology ,Software
Lindsay Fox,81,Male,Australia,735.0,Logistics ,"Logistics, real estate"
Jimmy Haslam,64,Male,Australia,640.0,Fashion & Retail ,"Gas stations, retail"
Heidi Horten,77,Female,Australia,743.0,Fashion & Retail ,Retail
Min Kao,69,Male,Australia,707.0,Technology ,Navigation equipment
Melissa Ma,48,Female,People'S Republic Of China,554.0,Technology ,Internet search
Rudolf Maag,72,Male,Switzerland,676.0,Healthcare ,Medical devices
Alexander Ponomarenko,53,Male,Russia,726.0,Logistics ,"Real estate, airport"
Carlos Rodriguez-pastor,59,Male,Peru,646.0,Finance and Investments ,Finance
Shashi Ruia,-9999,Male,Peru,706.0,Diversified ,Diversified
Teddy Sagi,46,Male,Peru,691.0,Gambling & Casinos ,Gambling software
Shaul Shani,63,Male,Peru,709.0,Telecom ,Telecom
Alexander Skorobogatko,50,Male,Peru,725.0,Logistics ,"Real estate, airport"
Sun Sun,55,Male,China,765.0,Diversified ,Diversified
Rita Tong liu,69,Male,China,688.0,Real Estate ,Real estate
Juan-miguel Villar mir,86,Male,China,1016.0,Construction & Engineering ,Construction
Steve Wynn,76,Male,China,805.0,Gambling & Casinos ,"Casinos, hotels"
Anil Agarwal,64,Male,China,832.0,Metals & Mining ,"Mining, metals"
Abdulla Al futtaim,-9999,Male,China,733.0,Automotive ,"Auto dealers, investments"
John Arnold,44,Male,United States,732.0,Finance and Investments ,Hedge funds
Sid Bass,76,Male,United States,675.0,Energy ,"Oil, investments"
Alain Bouchard,69,Male,United States,823.0,Fashion & Retail ,Retail
John Brown,83,Male,United States,622.0,Healthcare ,Medical equipment
Vanich Chaiyawan,86,Male,United States,860.0,Finance and Investments ,"Insurance, beverages"
Chen Chen,70,Male,United States,631.0,Gambling & Casinos ,"Casinos, property, energy"
Charles Cohen,66,Male,United States,711.0,Real Estate ,Real estate
Ashwin Dani,75,Male,United States,672.0,Manufacturing ,Paints
Rakesh Gangwal,64,Male,United States,815.0,Service ,Airline
Reid Hoffman,50,Male,United States,718.0,Technology ,Linkedin
Amos Hostetter,81,Male,United States,737.0,Media & Entertainment ,Cable television
Zarakh Iliev,51,Male,Russia,898.0,Real Estate ,Real estate
Ji Ji,51,Male,Russia,456.0,Real Estate ,"Hotels, motels"
Kenneth Langone,82,Male,United States,684.0,Finance and Investments ,Investments
Li Li,61,Male,United States,784.0,Real Estate ,Real estate
George Lindemann,82,Male,United States,710.0,Finance and Investments ,Investments
Liu Liu,54,Male,China,649.0,Manufacturing ,Aluminum products
Luo Luo,62,Male,People'S Republic Of China,488.0,Manufacturing ,Chemicals
Mary Malone,68,Female,People'S Republic Of China,822.0,Food and Beverage ,Campbell soup
Henry Nicholas,58,Male,United States,644.0,Technology ,Semiconductors
God Nisanov,46,Male,United States,897.0,Real Estate ,Real estate
Pat Stryker,62,Male,United States,625.0,Healthcare ,Medical equipment
Alexander Svetakov,50,Male,Russia,766.0,Finance and Investments ,Real estate
Hans Wild,77,Male,Russia,769.0,Food and Beverage ,Flavorings
Yvonne Bauer,41,Female,Russia,746.0,Media & Entertainment ,Media
Patrizio Bertelli,72,Male,Russia,628.0,Fashion & Retail ,Luxury goods
Neil Bluhm,80,Male,Russia,722.0,Real Estate ,Real estate
Andrew Cherng,-9999,NaN,United States,715.0,Food and Beverage ,Restaurants
Scott Cook,65,NaN,United States,589.0,Technology ,Software
Leon Cooperman,75,Male,United States,750.0,Finance and Investments ,Hedge funds
John Dejoria,74,Male,United States,713.0,Fashion & Retail ,"Hair products, tequila"
Martin Ebner,72,Male,United States,595.0,Finance and Investments ,Investments
Walter Faria,63,Male,United States,863.0,Food and Beverage ,Beer
Sameer Gehlaut,44,Male,United States,700.0,Finance and Investments ,Finance
Tom Golisano,76,Male,United States,690.0,Service ,Payroll services
Otto Happel,70,Male,United States,801.0,Construction & Engineering ,Engineering
Jiang Jiang,51,Male,United States,988.0,Technology ,Acoustic components
Karel Komarek,49,Male,United States,797.0,Gambling & Casinos ,Lotteries
Kurt Krieger,70,Male,Germany,810.0,Fashion & Retail ,Furniture retailing
Timur Kulibaev,51,Male,Germany,778.0,Finance and Investments ,Banking
Dinara Kulibaeva,50,Male,Kazakhstan,779.0,Finance and Investments ,Banking
Spiro Latsis,71,Male,Kazakhstan,874.0,Diversified ,"Banking, shipping"
Daniel Loeb,56,Male,Kazakhstan,755.0,Finance and Investments ,Hedge funds
Luo Luo,92,Male,Kazakhstan,803.0,Automotive ,Tires
Ronald Mcaulay,82,Male,Kazakhstan,712.0,Energy ,Energy
Alain Merieux,80,Male,Kazakhstan,752.0,Healthcare ,Pharmaceuticals
Hans Naeder,56,Male,Kazakhstan,789.0,Manufacturing ,Prosthetics
Nie Nie,42,Male,China,501.0,Service ,Logistics
Daniel Och,57,Male,China,756.0,Finance and Investments ,Hedge funds
Miuccia Prada,69,Female,China,629.0,Fashion & Retail ,Luxury goods
Marc Rowan,55,Male,United States,758.0,Finance and Investments ,Private equity
Haim Saban,73,Male,United States,760.0,Media & Entertainment ,"Tv network, investments"
Alvaro Saieh bendeck,68,Male,United States,753.0,Finance and Investments ,Banking
Michael Schmidt-ruthenbeck,75,Male,Germany,982.0,Fashion & Retail ,Retail
Lynn Schusterman,79,Female,Germany,751.0,Energy ,"Oil & gas, investments"
Mark Shoen,67,Female,United States,787.0,Automotive ,U-haul
Michal Solowow,55,Male,Poland,808.0,Finance and Investments ,Investments
Daniel Tsai,62,Male,Poland,730.0,Finance and Investments ,Finance
Richard Tsai,61,Male,Taiwan,731.0,Finance and Investments ,Finance
Frank Wang,36,Male,China,749.0,Technology ,Drones
Meg Whitman,61,Female,China,728.0,Technology ,Ebay
John Catsimatidis,69,Male,China,768.0,Energy ,"Oil, real estate"
Do Chang,62,NaN,United States,792.0,Fashion & Retail ,Fashion retail
Cheng Cheng,54,Female,United States,490.0,Healthcare ,Pharmaceuticals
Barry Diller,76,Male,United States,717.0,Media & Entertainment ,Online media
Jack Dorsey,41,Male,United States,395.0,Technology ,Twitter
Yakir Gabay,52,Male,United States,727.0,Real Estate ,Real estate
Allan Goldman,75,Male,United States,773.0,Real Estate ,Real estate
Jane Goldman,62,Female,United States,764.0,Real Estate ,Real estate
Amy Goldman fowler,64,Female,United States,767.0,Real Estate ,Real estate
Daryl Katz,56,Male,United States,826.0,Diversified ,Pharmacies
Diane Kemper,72,Female,United States,771.0,Real Estate ,Real estate
Vladimir Kim,57,Male,Kazakhstan,748.0,Metals & Mining ,Mining
Lai Lai,47,Male,China,564.0,Logistics ,Package delivery
Manuel Lao hernandez,74,Male,China,892.0,Gambling & Casinos ,Gambling
James Leprino,80,Male,China,813.0,Food and Beverage ,Cheese
Liang Liang,50,Male,China,786.0,Diversified ,Conglomerate
Tom Morris,63,Male,China,862.0,Fashion & Retail ,Retail
